"","code","name","sci_name","family","order"
"1","ostric2","Common Ostrich","Struthio camelus","Struthionidae (Ostriches)","Struthioniformes"
"2","ostric3","Somali Ostrich","Struthio molybdophanes","Struthionidae (Ostriches)","Struthioniformes"
"3","y00934","Common/Somali Ostrich","Struthio camelus/molybdophanes","Struthionidae (Ostriches)","Struthioniformes"
"4","grerhe1","Greater Rhea","Rhea americana","Rheidae (Rheas)","Rheiformes"
"5","lesrhe2","Lesser Rhea","Rhea pennata","Rheidae (Rheas)","Rheiformes"
"6","lesrhe4","Lesser Rhea (Puna)","Rhea pennata tarapacensis/garleppi","Rheidae (Rheas)","Rheiformes"
"7","lesrhe3","Lesser Rhea (Darwin's)","Rhea pennata pennata","Rheidae (Rheas)","Rheiformes"
"8","tabtin1","Tawny-breasted Tinamou","Nothocercus julius","Tinamidae (Tinamous)","Tinamiformes"
"9","higtin1","Highland Tinamou","Nothocercus bonapartei","Tinamidae (Tinamous)","Tinamiformes"
"10","higtin2","Highland Tinamou (South American)","Nothocercus bonapartei [bonapartei Group]","Tinamidae (Tinamous)","Tinamiformes"
"11","higtin3","Highland Tinamou (Costa Rican)","Nothocercus bonapartei frantzii","Tinamidae (Tinamous)","Tinamiformes"
"12","hootin1","Hooded Tinamou","Nothocercus nigrocapillus","Tinamidae (Tinamous)","Tinamiformes"
"13","grytin1","Gray Tinamou","Tinamus tao","Tinamidae (Tinamous)","Tinamiformes"
"14","soltin1","Solitary Tinamou","Tinamus solitarius","Tinamidae (Tinamous)","Tinamiformes"
"15","blatin1","Black Tinamou","Tinamus osgoodi","Tinamidae (Tinamous)","Tinamiformes"
"16","gretin1","Great Tinamou","Tinamus major","Tinamidae (Tinamous)","Tinamiformes"
"17","whttin1","White-throated Tinamou","Tinamus guttatus","Tinamidae (Tinamous)","Tinamiformes"
"18","tinamu1","Tinamus sp.","Tinamus sp.","Tinamidae (Tinamous)","Tinamiformes"
"19","cintin1","Cinereous Tinamou","Crypturellus cinereus","Tinamidae (Tinamous)","Tinamiformes"
"20","bertin1","Berlepsch's Tinamou","Crypturellus berlepschi","Tinamidae (Tinamous)","Tinamiformes"
"21","littin1","Little Tinamou","Crypturellus soui","Tinamidae (Tinamous)","Tinamiformes"
"22","teptin1","Tepui Tinamou","Crypturellus ptaritepui","Tinamidae (Tinamous)","Tinamiformes"
"23","brotin1","Brown Tinamou","Crypturellus obsoletus","Tinamidae (Tinamous)","Tinamiformes"
"24","brntin1","Brown Tinamou (castaneus)","Crypturellus obsoletus castaneus","Tinamidae (Tinamous)","Tinamiformes"
"25","brntin2","Brown Tinamou (Brown)","Crypturellus obsoletus [obsoletus Group]","Tinamidae (Tinamous)","Tinamiformes"
"26","undtin1","Undulated Tinamou","Crypturellus undulatus","Tinamidae (Tinamous)","Tinamiformes"
"27","pabtin1","Pale-browed Tinamou","Crypturellus transfasciatus","Tinamidae (Tinamous)","Tinamiformes"
"28","bratin1","Brazilian Tinamou","Crypturellus strigulosus","Tinamidae (Tinamous)","Tinamiformes"
"29","gyltin1","Gray-legged Tinamou","Crypturellus duidae","Tinamidae (Tinamous)","Tinamiformes"
"30","reltin1","Red-legged Tinamou","Crypturellus erythropus","Tinamidae (Tinamous)","Tinamiformes"
"31","yeltin1","Yellow-legged Tinamou","Crypturellus noctivagus","Tinamidae (Tinamous)","Tinamiformes"
"32","yeltin2","Yellow-legged Tinamou (zabele)","Crypturellus noctivagus zabele","Tinamidae (Tinamous)","Tinamiformes"
"33","yeltin3","Yellow-legged Tinamou (noctivagus)","Crypturellus noctivagus noctivagus","Tinamidae (Tinamous)","Tinamiformes"
"34","blctin1","Black-capped Tinamou","Crypturellus atrocapillus","Tinamidae (Tinamous)","Tinamiformes"
"35","slbtin1","Slaty-breasted Tinamou","Crypturellus boucardi","Tinamidae (Tinamous)","Tinamiformes"
"36","chotin1","Choco Tinamou","Crypturellus kerriae","Tinamidae (Tinamous)","Tinamiformes"
"37","vartin1","Variegated Tinamou","Crypturellus variegatus","Tinamidae (Tinamous)","Tinamiformes"
"38","thitin1","Thicket Tinamou","Crypturellus cinnamomeus","Tinamidae (Tinamous)","Tinamiformes"
"39","thitin2","Thicket Tinamou (occidentalis)","Crypturellus cinnamomeus occidentalis","Tinamidae (Tinamous)","Tinamiformes"
"40","thitin3","Thicket Tinamou (cinnamomeus Group)","Crypturellus cinnamomeus [cinnamomeus Group]","Tinamidae (Tinamous)","Tinamiformes"
"41","rustin1","Rusty Tinamou","Crypturellus brevirostris","Tinamidae (Tinamous)","Tinamiformes"
"42","bartin2","Bartlett's Tinamou","Crypturellus bartletti","Tinamidae (Tinamous)","Tinamiformes"
"43","smbtin1","Small-billed Tinamou","Crypturellus parvirostris","Tinamidae (Tinamous)","Tinamiformes"
"44","bartin1","Barred Tinamou","Crypturellus casiquiare","Tinamidae (Tinamous)","Tinamiformes"
"45","tattin1","Tataupa Tinamou","Crypturellus tataupa","Tinamidae (Tinamous)","Tinamiformes"
"46","cryptu1","Crypturellus sp.","Crypturellus sp.","Tinamidae (Tinamous)","Tinamiformes"
"47","rewtin1","Red-winged Tinamou","Rhynchotus rufescens","Tinamidae (Tinamous)","Tinamiformes"
"48","huatin1","Huayco Tinamou","Rhynchotus maculicollis","Tinamidae (Tinamous)","Tinamiformes"
"49","tactin1","Taczanowski's Tinamou","Nothoprocta taczanowskii","Tinamidae (Tinamous)","Tinamiformes"
"50","orntin1","Ornate Tinamou","Nothoprocta ornata","Tinamidae (Tinamous)","Tinamiformes"
"51","chitin1","Chilean Tinamou","Nothoprocta perdicaria","Tinamidae (Tinamous)","Tinamiformes"
"52","brutin1","Brushland Tinamou","Nothoprocta cinerascens","Tinamidae (Tinamous)","Tinamiformes"
"53","andtin1","Andean Tinamou","Nothoprocta pentlandii","Tinamidae (Tinamous)","Tinamiformes"
"54","cubtin1","Curve-billed Tinamou","Nothoprocta curvirostris","Tinamidae (Tinamous)","Tinamiformes"
"55","nothop1","Nothoprocta sp.","Nothoprocta sp.","Tinamidae (Tinamous)","Tinamiformes"
"56","whbnot1","White-bellied Nothura","Nothura boraquira","Tinamidae (Tinamous)","Tinamiformes"
"57","lesnot1","Lesser Nothura","Nothura minor","Tinamidae (Tinamous)","Tinamiformes"
"58","darnot1","Darwin's Nothura","Nothura darwinii","Tinamidae (Tinamous)","Tinamiformes"
"59","sponot1","Spotted Nothura","Nothura maculosa","Tinamidae (Tinamous)","Tinamiformes"
"60","dwatin1","Dwarf Tinamou","Taoniscus nanus","Tinamidae (Tinamous)","Tinamiformes"
"61","elctin1","Elegant Crested-Tinamou","Eudromia elegans","Tinamidae (Tinamous)","Tinamiformes"
"62","quctin1","Quebracho Crested-Tinamou","Eudromia formosa","Tinamidae (Tinamous)","Tinamiformes"
"63","puntin1","Puna Tinamou","Tinamotis pentlandii","Tinamidae (Tinamous)","Tinamiformes"
"64","pattin1","Patagonian Tinamou","Tinamotis ingoufi","Tinamidae (Tinamous)","Tinamiformes"
"65","tinamo1","tinamou sp.","Tinamidae sp.","Tinamidae (Tinamous)","Tinamiformes"
"66","soucas1","Southern Cassowary","Casuarius casuarius","Casuariidae (Cassowaries and Emu)","Casuariiformes"
"67","dwacas1","Dwarf Cassowary","Casuarius bennetti","Casuariidae (Cassowaries and Emu)","Casuariiformes"
"68","norcas1","Northern Cassowary","Casuarius unappendiculatus","Casuariidae (Cassowaries and Emu)","Casuariiformes"
"69","emu1","Emu","Dromaius novaehollandiae","Casuariidae (Cassowaries and Emu)","Casuariiformes"
"70","sobkiw1","Southern Brown Kiwi","Apteryx australis","Apterygidae (Kiwis)","Apterygiformes"
"71","sobkiw2","Southern Brown Kiwi (South I.)","Apteryx australis australis","Apterygidae (Kiwis)","Apterygiformes"
"72","sobkiw3","Southern Brown Kiwi (Stewart I.)","Apteryx australis lawryi","Apterygidae (Kiwis)","Apterygiformes"
"73","okbkiw1","Okarito Brown Kiwi","Apteryx rowi","Apterygidae (Kiwis)","Apterygiformes"
"74","nibkiw1","North Island Brown Kiwi","Apteryx mantelli","Apterygidae (Kiwis)","Apterygiformes"
"75","liskiw1","Little Spotted Kiwi","Apteryx owenii","Apterygidae (Kiwis)","Apterygiformes"
"76","grskiw1","Great Spotted Kiwi","Apteryx haastii","Apterygidae (Kiwis)","Apterygiformes"
"77","kiwi1","kiwi sp.","Apteryx sp.","Apterygidae (Kiwis)","Apterygiformes"
"78","horscr1","Horned Screamer","Anhima cornuta","Anhimidae (Screamers)","Anseriformes"
"79","souscr1","Southern Screamer","Chauna torquata","Anhimidae (Screamers)","Anseriformes"
"80","norscr1","Northern Screamer","Chauna chavaria","Anhimidae (Screamers)","Anseriformes"
"81","maggoo1","Magpie Goose","Anseranas semipalmata","Anseranatidae (Magpie Goose)","Anseriformes"
"82","spwduc1","Spotted Whistling-Duck","Dendrocygna guttata","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"83","plwduc1","Plumed Whistling-Duck","Dendrocygna eytoni","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"84","wfwduc1","White-faced Whistling-Duck","Dendrocygna viduata","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"85","x00721","Spotted x White-faced Whistling-Duck (hybrid)","Dendrocygna guttata x viduata","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"86","bbwduc","Black-bellied Whistling-Duck","Dendrocygna autumnalis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"87","bkbwhd1","Black-bellied Whistling-Duck (fulgens)","Dendrocygna autumnalis fulgens","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"88","bkbwhd2","Black-bellied Whistling-Duck (autumnalis)","Dendrocygna autumnalis autumnalis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"89","wiwduc1","West Indian Whistling-Duck","Dendrocygna arborea","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"90","x00775","Black-bellied x West Indian Whistling-Duck (hybrid)","Dendrocygna autumnalis x arborea","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"91","fuwduc","Fulvous Whistling-Duck","Dendrocygna bicolor","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"92","x00938","White-faced x Fulvous Whistling-Duck (hybrid)","Dendrocygna viduata x bicolor","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"93","x00875","Black-bellied x Fulvous Whistling-Duck (hybrid)","Dendrocygna autumnalis x bicolor","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"94","wawduc1","Wandering Whistling-Duck","Dendrocygna arcuata","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"95","lewduc1","Lesser Whistling-Duck","Dendrocygna javanica","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"96","y01080","Fulvous/Lesser Whistling-Duck","Dendrocygna bicolor/javanica","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"97","x00360","Wandering x Lesser Whistling-Duck (hybrid)","Dendrocygna arcuata x javanica","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"98","whistl1","whistling-duck sp.","Dendrocygna sp.","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"99","whbduc1","White-backed Duck","Thalassornis leuconotus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"100","bahgoo","Bar-headed Goose","Anser indicus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"101","empgoo","Emperor Goose","Anser canagicus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"102","snogoo","Snow Goose","Anser caerulescens","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"103","rosgoo","Ross's Goose","Anser rossii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"104","sxrgoo1","Snow x Ross's Goose (hybrid)","Anser caerulescens x rossii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"105","y00469","Snow/Ross's Goose","Anser caerulescens/rossii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"106","gragoo","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"107","gragoo2","Graylag Goose (European)","Anser anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"108","gragoo3","Graylag Goose (Siberian)","Anser anser rubrirostris","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"109","gragoo1","Graylag Goose (Domestic type)","Anser anser (Domestic type)","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"110","swagoo1","Swan Goose","Anser cygnoides","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"111","swagoo2","Swan Goose (Domestic type)","Anser cygnoides (Domestic type)","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"112","x00776","Graylag x Swan Goose (Domestic type) (hybrid)","Anser anser x cygnoides (Domestic type)","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"113","gwfgoo","Greater White-fronted Goose","Anser albifrons","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"114","gwfgoo1","Greater White-fronted Goose (Greenland)","Anser albifrons flavirostris","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"115","gwfgoo4","Greater White-fronted Goose (Eurasian)","Anser albifrons albifrons","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"116","gwfgoo2","Greater White-fronted Goose (Western)","Anser albifrons gambelli/sponsa","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"117","gwfgoo3","Greater White-fronted Goose (Tule)","Anser albifrons elgasi","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"118","x00755","Bar-headed x Greater White-fronted Goose (hybrid)","Anser indicus x albifrons","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"119","x00361","Emperor x Greater White-fronted Goose (hybrid)","Anser canagicus x albifrons","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"120","x00627","Snow x Greater White-fronted Goose (hybrid)","Anser caerulescens x albifrons","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"121","x00362","Ross's x Greater White-fronted Goose (hybrid)","Anser rossii x albifrons","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"122","lwfgoo","Lesser White-fronted Goose","Anser erythropus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"123","y00707","Greater/Lesser White-fronted Goose","Anser albifrons/erythropus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"124","taibeg1","Taiga Bean-Goose","Anser fabalis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"125","tunbeg1","Tundra Bean-Goose","Anser serrirostris","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"126","y00468","Taiga/Tundra Bean-Goose","Anser fabalis/serrirostris","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"127","pifgoo","Pink-footed Goose","Anser brachyrhynchus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"128","domgoo1","Domestic goose sp. (Domestic type)","Anser sp. (Domestic type)","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"129","anser1","Anser sp.","Anser sp.","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"130","brant","Brant","Branta bernicla","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"131","dabbra1","Brant (Dark-bellied)","Branta bernicla bernicla","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"132","atlbra1","Brant (Atlantic)","Branta bernicla hrota","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"133","blkbra1","Brant (Black)","Branta bernicla nigricans","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"134","gybbra1","Brant (Gray-bellied)","Branta bernicla (Gray-bellied)","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"135","brant1","Brant (Atlantic x Black)","Branta bernicla hrota x nigricans","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"136","x00685","Snow Goose x Brant (hybrid)","Anser caerulescens x Branta bernicla","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"137","bargoo","Barnacle Goose","Branta leucopsis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"138","x00363","Bar-headed x Barnacle Goose (hybrid)","Anser indicus x Branta leucopsis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"139","x00649","Graylag x Barnacle Goose (hybrid)","Anser anser x Branta leucopsis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"140","x00757","Greater White-fronted x Barnacle Goose (hybrid)","Anser albifrons x Branta leucopsis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"141","x00364","Lesser White-fronted x Barnacle Goose (hybrid)","Anser erythropus x Branta leucopsis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"142","x00756","Pink-footed x Barnacle Goose (hybrid)","Anser brachyrhynchus x Branta leucopsis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"143","cacgoo1","Cackling Goose","Branta hutchinsii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"144","alcgoo1","Cackling Goose (Aleutian)","Branta hutchinsii leucopareia","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"145","ricgoo1","Cackling Goose (Richardson's)","Branta hutchinsii hutchinsii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"146","cacgoo2","Cackling Goose (minima)","Branta hutchinsii minima","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"147","tacgoo1","Cackling Goose (Taverner's)","Branta hutchinsii taverneri","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"148","x00831","Emperor x Cackling Goose (hybrid)","Anser canagicus x Branta hutchinsii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"149","x00692","Snow x Cackling Goose (hybrid)","Anser caerulescens x Branta hutchinsii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"150","x00694","Ross's x Cackling Goose (hybrid)","Anser rossii x Branta hutchinsii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"151","x00722","Brant x Cackling Goose (hybrid)","Branta bernicla x hutchinsii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"152","x00414","Greater White-fronted x Cackling Goose (hybrid)","Anser albifrons x Branta hutchinsii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"153","x00416","Barnacle x Cackling Goose (hybrid)","Branta leucopsis x hutchinsii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"154","cangoo","Canada Goose","Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"155","cangoo4","Canada Goose (moffitti/maxima)","Branta canadensis moffitti/maxima","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"156","cangoo3","Canada Goose (occidentalis/fulva)","Branta canadensis occidentalis/fulva","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"157","cangoo1","Canada Goose (canadensis Group)","Branta canadensis [canadensis Group]","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"158","x00908","Bar-headed x Canada Goose (hybrid)","Anser indicus x Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"159","swagoo3","Swan Goose (Domestic type) x Canada Goose (hybrid)","Anser cygnoides (Domestic type) x Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"160","x00650","Pink-footed x Canada Goose (hybrid)","Anser brachyrhynchus x Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"161","x00415","Greater White-fronted x Canada Goose (hybrid)","Anser albifrons x Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"162","x00758","Graylag x Canada Goose (hybrid)","Anser anser x Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"163","gragoo4","Graylag Goose (Domestic type) x Canada Goose (hybrid)","Anser anser (Domestic type) x Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"164","x00759","Domestic goose sp. (Domestic type) x Canada Goose (hybrid)","Anser sp. (Domestic type) x Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"165","x00197","Snow x Canada Goose (hybrid)","Anser caerulescens x Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"166","x00693","Ross's x Canada Goose (hybrid)","Anser rossii x Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"167","x00417","Barnacle x Canada Goose (hybrid)","Branta leucopsis x canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"168","y00470","Cackling/Canada Goose","Branta hutchinsii/canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"169","y00765","Snow/Ross's x Cackling/Canada Goose (hybrid)","Anser caerulescens/rossii x Branta hutchinsii/canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"170","hawgoo","Hawaiian Goose","Branta sandvicensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"171","rebgoo1","Red-breasted Goose","Branta ruficollis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"172","x00939","Greater White-fronted x Red-breasted Goose (hybrid)","Anser albifrons x Branta ruficollis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"173","x00365","Barnacle x Red-breasted Goose (hybrid)","Branta leucopsis x ruficollis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"174","branta1","Branta sp.","Branta sp.","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"175","goose1","goose sp.","Anser/Branta sp.","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"176","cabgoo1","Cape Barren Goose","Cereopsis novaehollandiae","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"177","freduc1","Freckled Duck","Stictonetta naevosa","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"178","buwgoo1","Blue-winged Goose","Cyanochen cyanoptera","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"179","mutswa","Mute Swan","Cygnus olor","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"180","x00366","Graylag Goose x Mute Swan (hybrid)","Anser anser x Cygnus olor","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"181","blkswa","Black Swan","Cygnus atratus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"182","blnswa2","Black-necked Swan","Cygnus melancoryphus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"183","truswa","Trumpeter Swan","Cygnus buccinator","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"184","x00832","Mute x Trumpeter Swan (hybrid)","Cygnus olor x buccinator","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"185","tunswa","Tundra Swan","Cygnus columbianus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"186","tunswa1","Tundra Swan (Whistling)","Cygnus columbianus columbianus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"187","bewswa1","Tundra Swan (Bewick's)","Cygnus columbianus bewickii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"188","tunswa2","Tundra Swan (Whistling x Bewick's)","Cygnus columbianus columbianus x bewickii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"189","x00418","Trumpeter x Tundra Swan (hybrid)","Cygnus buccinator x columbianus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"190","y00471","Trumpeter/Tundra Swan","Cygnus buccinator/columbianus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"191","whoswa","Whooper Swan","Cygnus cygnus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"192","x00419","Trumpeter x Whooper Swan (hybrid)","Cygnus buccinator x cygnus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"193","y00708","Tundra/Whooper Swan","Cygnus columbianus/cygnus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"194","swan1","swan sp.","Cygnus sp.","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"195","cosswa1","Coscoroba Swan","Coscoroba coscoroba","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"196","comduc2","Knob-billed Duck","Sarkidiornis melanotos","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"197","comduc3","Comb Duck","Sarkidiornis sylvicola","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"198","harduc1","Hartlaub's Duck","Pteronetta hartlaubii","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"199","origoo1","Orinoco Goose","Oressochen jubatus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"200","andgoo1","Andean Goose","Oressochen melanopterus","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"201","uplgoo1","Upland Goose","Chloephaga picta","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"202","uplgoo2","Upland Goose (White-breasted)","Chloephaga picta (White-breasted)","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"203","uplgoo3","Upland Goose (Bar-breasted)","Chloephaga picta (Bar-breasted)","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"204","kelgoo1","Kelp Goose","Chloephaga hybrida","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"205","ashgoo1","Ashy-headed Goose","Chloephaga poliocephala","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"206","ruhgoo1","Ruddy-headed Goose","Chloephaga rubidiceps","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"207","chloep1","Chloephaga sp.","Chloephaga sp.","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"208","radshe1","Radjah Shelduck","Radjah radjah","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"209","egygoo","Egyptian Goose","Alopochen aegyptiaca","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"210","maushe1","Mauritius Shelduck","Alopochen mauritiana","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"211","reushe1","Reunion Shelduck","Alopochen kervazoi","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"212","rudshe","Ruddy Shelduck","Tadorna ferruginea","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"213","x00367","Egyptian Goose x Ruddy Shelduck (hybrid)","Alopochen aegyptiaca x Tadorna ferruginea","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"214","soashe1","South African Shelduck","Tadorna cana","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"215","ausshe1","Australian Shelduck","Tadorna tadornoides","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"216","parshe1","Paradise Shelduck","Tadorna variegata","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"217","comshe","Common Shelduck","Tadorna tadorna","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"218","x00876","Ruddy x Common Shelduck (hybrid)","Tadorna ferruginea x tadorna","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"219","creshe1","Crested Shelduck","Tadorna cristata","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"220","spwgoo1","Spur-winged Goose","Plectropterus gambensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
"221","spwgoo2","Spur-winged Goose (Northern)","Plectropterus gambensis gambensis","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes"
